,hexagon,"Acanthis flammea (Linnaeus, 1758)",Acanthis flammea flammea,"Acanthis hornemanni (Holböll, 1843)","Accipiter gentilis (Linnaeus, 1758)","Accipiter nisus (Linnaeus, 1758)","Actitis hypoleucos (Linnaeus, 1758)","Aegithalos caudatus (Linnaeus, 1758)","Aix galericulata (Linnaeus, 1758)","Alca torda Linnaeus, 1758","Alcedo atthis (Linnaeus, 1758)","Alopochen aegyptiaca (Linnaeus, 1766)","Anas acuta Linnaeus, 1758","Anas crecca Linnaeus, 1758","Anas platyrhynchos Linnaeus, 1758",Anas platyrhynchos f. domesticus,"Anser albifrons (Scopoli, 1769)","Anser anser (Linnaeus, 1758)",Anser anser f. domesticus,"Anser serrirostris Gould, 1852","Anthus pratensis (Linnaeus, 1758)","Ardea alba Linnaeus, 1758","Ardea cinerea Linnaeus, 1758","Ardea ibis Linnaeus, 1758","Arenaria interpres (Linnaeus, 1758)","Asio otus (Linnaeus, 1758)","Aythya ferina (Linnaeus, 1758)","Aythya fuligula (Linnaeus, 1758)","Aythya marila (Linnaeus, 1761)","Bombycilla garrulus (Linnaeus, 1758)","Branta bernicla (Linnaeus, 1758)","Branta canadensis (Linnaeus, 1758)","Branta leucopsis (Bechstein, 1803)","Bubulcus ibis (Linnaeus, 1758)","Bucephala clangula (Linnaeus, 1758)","Buteo buteo (Linnaeus, 1758)","Buteo lagopus (Pontoppidan, 1763)","Calidris alba (Pallas, 1764)","Calidris alpina (Linnaeus, 1758)","Calidris maritima (Brünnich, 1764)","Carduelis carduelis (Linnaeus, 1758)","Certhia brachydactyla C.L.Brehm, 1820","Certhia familiaris Linnaeus, 1758","Charadrius hiaticula Linnaeus, 1758","Chloris chloris (Linnaeus, 1758)","Chroicocephalus ridibundus (Linnaeus, 1766)","Ciconia ciconia (Linnaeus, 1758)","Cinclus cinclus (Linnaeus, 1758)","Circus aeruginosus (Linnaeus, 1758)","Circus cyaneus (Linnaeus, 1766)","Clangula hyemalis (Linnaeus, 1758)","Coccothraustes coccothraustes (Linnaeus, 1758)","Coloeus monedula (Linnaeus, 1758)","Columba livia J.F.Gmelin, 1789","Columba livia var. domestica J.F.Gmelin, 1789","Columba oenas Linnaeus, 1758","Columba palumbus Linnaeus, 1758","Corvus corax Linnaeus, 1758","Corvus cornix Linnaeus, 1758","Corvus corone Linnaeus, 1758","Corvus frugilegus Linnaeus, 1758","Corvus monedula Linnaeus, 1758","Curruca melanocephala (J.F.Gmelin, 1789)","Cyanistes caeruleus (Linnaeus, 1758)","Cygnus columbianus bewickii Yarrell, 1830","Cygnus cygnus (Linnaeus, 1758)","Cygnus olor (J.F.Gmelin, 1789)","Dendrocopos leucotos (Bechstein, 1802)","Dendrocopos major (Linnaeus, 1758)","Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)","Dendrocoptes medius (Linnaeus, 1758)","Dryobates minor (Linnaeus, 1758)","Dryocopus martius (Linnaeus, 1758)","Egretta garzetta (Linnaeus, 1766)","Emberiza citrinella Linnaeus, 1758","Emberiza schoeniclus (Linnaeus, 1758)","Erithacus rubecula (Linnaeus, 1758)","Falco peregrinus Tunstall, 1771","Falco tinnunculus Linnaeus, 1758","Fringilla coelebs Linnaeus, 1758","Fringilla montifringilla Linnaeus, 1758","Fulica atra Linnaeus, 1758","Gallinago gallinago (Linnaeus, 1758)","Gallinula chloropus (Linnaeus, 1758)","Garrulus glandarius (Linnaeus, 1758)","Gavia immer (Brunnich, 1764)","Grus grus (Linnaeus, 1758)","Gulosus aristotelis (Linnaeus, 1761)","Gyps fulvus (Hablizl, 1783)","Haematopus ostralegus Linnaeus, 1758","Haliaeetus albicilla (Linnaeus, 1758)","Lanius excubitor Linnaeus, 1758","Larus argentatus Pontoppidan, 1763","Larus cachinnans Pallas, 1811","Larus canus Linnaeus, 1758","Larus fuscus Linnaeus, 1758","Larus marinus Linnaeus, 1758","Larus michahellis J.F.Naumann, 1840","Linaria cannabina (Linnaeus, 1758)","Lophophanes cristatus (Linnaeus, 1758)","Loxia curvirostra Linnaeus, 1758","Mareca penelope (Linnaeus, 1758)","Mareca strepera (Linnaeus, 1758)","Mergellus albellus (Linnaeus, 1758)","Mergus merganser Linnaeus, 1758","Mergus serrator Linnaeus, 1758","Milvus milvus (Linnaeus, 1758)","Morus bassanus (Linnaeus, 1758)","Motacilla alba Linnaeus, 1758","Motacilla cinerea Tunstall, 1771","Netta rufina (Pallas, 1773)","Numenius arquata (Linnaeus, 1758)","Parus major Linnaeus, 1758","Passer domesticus (Linnaeus, 1758)","Passer montanus (Linnaeus, 1758)","Perdix perdix (Linnaeus, 1758)","Periparus ater (Linnaeus, 1758)","Phalacrocorax carbo (Linnaeus, 1758)","Phasianus colchicus Linnaeus, 1758","Phoenicopterus roseus Pallas, 1811","Phoenicurus ochruros (S.G.Gmelin, 1774)","Phylloscopus collybita (Vieillot, 1817)","Pica pica (Linnaeus, 1758)","Picus canus J.F.Gmelin, 1788","Picus viridis Linnaeus, 1758","Platalea leucorodia Linnaeus, 1758","Plectrophenax nivalis (Linnaeus, 1758)","Plegadis falcinellus (Linnaeus, 1766)","Pluvialis apricaria (Linnaeus, 1758)","Pluvialis squatarola (Linnaeus, 1758)","Podiceps cristatus (Linnaeus, 1758)","Podiceps nigricollis C.L.Brehm, 1831","Poecile montanus (Conrad von Baldenstein, 1827)","Poecile palustris (Linnaeus, 1758)","Prunella modularis (Linnaeus, 1758)","Psittacula krameri (Scopoli, 1769)","Pyrrhula pyrrhula (Linnaeus, 1758)","Rallus aquaticus Linnaeus, 1758","Recurvirostra avosetta Linnaeus, 1758","Regulus ignicapilla (Temminck, 1820)","Regulus regulus (Linnaeus, 1758)","Saxicola rubicola (Linnaeus, 1766)","Serinus serinus (Linnaeus, 1766)","Sitta europaea Linnaeus, 1758","Somateria mollissima (Linnaeus, 1758)","Spatula clypeata (Linnaeus, 1758)","Spinus spinus (Linnaeus, 1758)","Streptopelia decaocto (Frivaldszky, 1838)","Strix aluco Linnaeus, 1758","Strix uralensis Pallas, 1771","Sturnus unicolor Temminck, 1820","Sturnus vulgaris Linnaeus, 1758","Sylvia atricapilla (Linnaeus, 1758)","Tachybaptus ruficollis (Pallas, 1764)","Tadorna ferruginea (Pallas, 1764)","Tadorna tadorna (Linnaeus, 1758)","Tringa totanus (Linnaeus, 1758)","Troglodytes troglodytes (Linnaeus, 1758)","Turdus iliacus Linnaeus, 1758","Turdus merula Linnaeus, 1758","Turdus philomelos C.L.Brehm, 1831","Turdus pilaris Linnaeus, 1758","Turdus viscivorus Linnaeus, 1758","Uria aalge (Pontoppidan, 1763)","Vanellus vanellus (Linnaeus, 1758)",UMAP1,UMAP2,cluster
3,8108bffffffffff,8,0,1,1,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,4,1,3,0,0,0,0,0,3,0,5,2,0,4,0,0,0,4,0,0,2,0,0,3,5,0,0,4,0,8,0,1,2,1,13,0,0,0,1,0,13,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,3,2,2,0,2,0,0,0,0,5,3,0,0,0,7,0,0,0,0,0,0,0,8,3,3,0,4,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,-6.611453,11.400382,-1
6,8109bffffffffff,7,1,0,0,2,0,2,1,0,0,0,0,0,15,1,0,0,0,0,1,0,2,0,2,0,0,3,0,3,0,2,0,0,10,1,0,0,0,0,4,0,1,0,12,0,0,6,0,0,0,7,0,0,1,0,1,1,19,0,0,3,0,16,0,7,3,0,8,0,0,0,0,0,8,0,6,0,0,12,17,0,0,0,3,1,0,1,0,0,4,0,13,0,0,0,0,0,0,1,1,1,0,0,3,6,0,0,0,0,0,1,18,6,5,0,6,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,26,1,0,0,0,0,0,8,4,0,3,1,1,0,0,0,0,0,0,0,1,3,0,8,0,1,0,1,1,-6.492497,10.966956,-1
7,81103ffffffffff,100,0,47,4,13,0,47,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,26,0,10,1,21,0,0,0,0,8,2,11,0,0,0,10,0,21,0,30,0,0,0,0,0,0,15,0,15,28,0,0,45,86,0,4,39,0,129,0,0,0,26,63,0,7,15,11,0,10,0,0,0,0,3,2,1,0,0,38,0,0,0,0,0,19,6,0,0,0,0,0,0,0,20,11,1,0,1,17,0,0,0,0,0,0,0,230,59,126,5,41,0,0,0,0,0,83,14,0,0,1,0,0,0,0,0,71,7,0,0,281,0,0,0,3,0,0,48,0,0,2,0,0,10,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,-5.859078,11.9667845,-1
9,8110bffffffffff,83,0,29,29,12,0,38,0,0,0,0,1,2,105,0,0,0,0,0,0,0,0,0,0,3,0,5,5,20,0,0,0,0,14,11,39,0,0,0,49,0,38,0,37,6,0,0,0,0,0,5,0,8,40,0,2,52,98,0,32,47,0,112,0,0,15,31,85,11,33,18,22,0,28,1,1,2,3,4,6,0,0,0,47,0,0,0,0,0,26,19,0,0,0,0,0,0,14,12,2,2,0,15,2,0,0,0,0,0,0,0,165,29,93,46,34,1,0,0,0,0,52,34,0,0,26,0,0,0,1,0,50,21,0,0,167,3,0,0,10,0,0,101,0,0,12,4,1,83,0,0,0,0,0,0,0,5,0,1,0,10,0,0,0,-5.2123203,12.12908,-1
10,8110fffffffffff,70,0,6,13,4,0,29,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,17,0,3,0,0,0,16,0,44,0,9,0,0,20,0,0,0,17,0,11,49,0,0,53,71,0,1,33,0,96,0,0,0,22,68,0,0,15,12,0,2,0,0,0,0,0,3,1,0,0,65,0,0,0,0,0,12,14,0,0,0,0,0,0,0,3,8,0,0,2,9,0,0,0,0,0,0,0,214,33,86,1,64,0,0,0,0,0,76,17,0,0,4,0,0,0,3,0,113,39,0,0,226,0,0,0,3,0,0,91,0,0,3,0,2,57,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-5.505691,11.531391,-1
11,81113ffffffffff,232,0,18,48,15,0,50,1,0,0,0,0,7,212,7,0,0,1,0,0,0,7,0,0,22,0,6,0,46,0,1,0,0,88,10,3,0,0,0,29,0,84,0,139,4,0,18,0,0,0,11,0,17,165,0,2,38,307,0,22,72,0,231,0,5,15,48,251,0,11,16,6,0,13,0,6,0,4,16,13,20,0,6,134,0,0,0,0,0,15,27,190,0,20,1,28,0,2,16,1,4,6,8,34,0,0,0,0,0,0,0,352,125,124,23,36,0,0,0,0,0,123,22,0,0,0,0,0,0,8,0,64,36,0,0,352,0,0,0,6,0,0,131,0,0,20,0,29,92,0,7,0,4,0,0,0,2,0,129,0,99,0,0,0,-4.892983,11.575572,-1
13,8111bffffffffff,423,0,43,20,89,0,153,18,0,3,0,7,29,442,5,15,0,5,0,0,19,14,0,0,14,2,30,1,209,0,0,19,0,166,48,38,0,0,0,92,0,200,0,182,21,7,0,0,1,1,22,0,40,314,1,1,176,520,0,125,243,0,667,0,1,20,123,490,35,191,78,70,0,87,2,9,12,7,29,13,40,0,11,266,0,0,0,0,0,16,45,70,25,27,0,1,0,6,48,104,3,2,33,67,1,0,0,0,0,3,0,1115,166,446,111,173,9,0,0,0,0,346,121,2,0,8,0,0,0,21,0,217,58,0,0,760,4,0,0,34,0,0,286,0,0,84,47,13,12,0,2,0,15,48,3,0,19,3,51,0,223,1,0,0,-4.416548,11.396157,-1
14,81183ffffffffff,0,0,0,0,0,0,2,0,1,3,1,0,9,21,4,0,0,1,0,2,0,13,0,6,0,1,5,1,1,1,0,1,0,1,1,0,0,12,1,8,0,1,5,8,13,0,1,0,1,2,0,0,0,7,0,8,0,14,0,12,4,0,24,0,1,10,0,3,0,0,0,0,13,0,1,28,3,0,18,0,0,7,4,1,2,0,5,0,6,1,0,11,0,2,2,3,1,1,0,0,19,1,0,1,1,0,0,0,2,1,8,14,7,0,0,0,12,3,0,0,1,6,0,0,0,0,0,2,2,1,0,0,0,1,0,5,0,0,0,3,11,0,0,1,13,2,4,0,0,0,5,0,7,0,1,18,1,0,21,8,1,3,0,1,-7.7898784,10.418296,-1
15,81187ffffffffff,0,0,0,0,8,13,19,4,17,20,1,17,23,35,3,0,6,4,0,22,7,32,1,42,2,6,11,2,0,26,9,4,6,0,24,0,12,24,5,14,2,1,8,11,45,7,1,7,7,5,1,0,0,16,0,19,5,0,17,2,12,0,47,0,2,23,0,6,0,2,0,1,47,0,4,71,6,17,53,0,16,11,10,8,15,9,23,5,28,3,0,35,1,2,8,19,9,3,4,0,14,11,0,11,3,1,10,27,7,0,47,27,23,0,0,7,51,6,0,3,24,15,0,7,12,1,0,5,13,20,13,0,5,23,1,12,5,11,11,7,25,0,8,4,8,13,8,0,0,0,14,8,11,1,28,39,5,15,23,10,2,2,24,18,-7.5489736,9.595033,-1
17,81197ffffffffff,57,79,0,2,137,11,260,45,60,202,266,130,217,659,126,171,375,63,49,55,274,373,102,176,85,179,450,81,183,85,215,153,9,228,303,7,151,111,103,275,110,52,49,96,463,47,20,61,88,106,57,75,1,115,66,353,32,38,363,72,161,0,528,76,91,328,0,259,0,20,2,8,166,16,85,747,54,332,473,48,463,53,278,166,60,6,88,0,176,49,22,500,94,245,80,151,18,24,13,24,322,230,175,397,268,104,83,80,70,39,180,446,177,27,22,64,529,143,4,13,51,300,0,50,40,53,107,70,73,283,34,4,25,183,154,98,20,44,62,183,196,12,120,59,199,169,140,16,0,0,226,40,181,8,204,173,101,366,509,128,169,67,70,224,-4.551362,9.435979,-1
