,scientificName,81103ffffffffff,8110bffffffffff,8110fffffffffff,81113ffffffffff,8111bffffffffff,81197ffffffffff,811e3ffffffffff,811ebffffffffff,811efffffffffff,811f3ffffffffff,811fbffffffffff,812d3ffffffffff,812d7ffffffffff,81393ffffffffff,sex,lifeStage,continent,countryCode,kingdom,phylum,class,order,family,genus,UMAP1,UMAP2,cluster
0,"Acanthis flammea (Linnaeus, 1758)",23,13,11,34,93,0,0,0,0,2,0,0,0,0,"['MALE', 6, 'FEMALE', 5]","['Adult', 18]","['EUROPE', 182]","['RU', 173, 'FI', 4, 'DK', 2, 'BY', 2, 'LT', 1]","['Animalia', 182]","['Chordata', 182]","['Aves', 182]","['Passeriformes', 182]","['Fringillidae', 182]","['Acanthis', 182]",1.1611578,10.419321,-1
8,"Aegithalos caudatus (Linnaeus, 1758)",10,12,1,3,17,21,12,0,1,4,10,3,3,2,[],"['Adult', 11]","['EUROPE', 107]","['RU', 46, 'GB', 20, 'AT', 8, 'FR', 6, 'DE', 5, 'IT', 5, 'UA', 4, 'ES', 3, 'DK', 2, 'CZ', 2, 'HU', 2, 'LU', 1, 'NL', 1, 'RS', 1, 'PL', 1]","['Animalia', 107]","['Chordata', 107]","['Aves', 107]","['Passeriformes', 107]","['Aegithalidae', 107]","['Aegithalos', 107]",1.6697494,9.478973,-1
27,"Anas platyrhynchos Linnaeus, 1758",17,13,2,14,37,118,16,5,10,13,32,10,4,7,"['MALE', 24, 'FEMALE', 6]","['Adult', 21]","['EUROPE', 316]","['RU', 86, 'NL', 80, 'GB', 36, 'DE', 22, 'IT', 18, 'UA', 11, 'FR', 10, 'RO', 9, 'AT', 8, 'ES', 6, 'HU', 6, 'CH', 5, 'DK', 4, 'FI', 3, 'PT', 3, 'CZ', 2, 'NO', 2, 'BY', 1, 'LT', 1, 'GR', 1, 'BE', 1, 'LU', 1]","['Animalia', 316]","['Chordata', 316]","['Aves', 316]","['Anseriformes', 316]","['Anatidae', 316]","['Anas', 316]",1.9576865,7.6829233,-1
48,"Ardea cinerea Linnaeus, 1758",0,0,0,0,3,31,7,0,11,14,25,0,2,10,[],"['Adult', 4]","['EUROPE', 117]","['GB', 22, 'FR', 17, 'IT', 12, 'DE', 12, 'NL', 9, 'ES', 8, 'AT', 6, 'RO', 6, 'DK', 5, 'RS', 5, 'RU', 5, 'PT', 4, 'LU', 2, 'CH', 1, 'BE', 1, 'BY', 1, 'CZ', 1]","['Animalia', 117]","['Chordata', 117]","['Aves', 117]","['Pelecaniformes', 117]","['Ardeidae', 117]","['Ardea', 117]",2.538029,7.4468484,-1
59,"Bombycilla garrulus (Linnaeus, 1758)",6,8,3,11,55,19,0,0,4,5,1,0,9,0,"['MALE', 1]","['Adult', 7]","['EUROPE', 132]","['RU', 93, 'GB', 19, 'DK', 5, 'UA', 5, 'BY', 4, 'RO', 4, 'DE', 1, 'LT', 1]","['Animalia', 132]","['Chordata', 132]","['Aves', 132]","['Passeriformes', 132]","['Bombycillidae', 132]","['Bombycilla', 132]",1.9609506,10.17555,-1
74,"Buteo buteo (Linnaeus, 1758)",0,3,0,1,5,12,10,6,11,12,18,0,0,10,[],"['Adult', 3]","['EUROPE', 101]","['IT', 16, 'ES', 9, 'AT', 9, 'RU', 9, 'DE', 9, 'DK', 8, 'FR', 8, 'GB', 8, 'RS', 6, 'PT', 5, 'NL', 4, 'RO', 4, 'BE', 1, 'CH', 1, 'UA', 1, 'SK', 1, 'PL', 1, 'GR', 1]","['Animalia', 101]","['Chordata', 101]","['Aves', 101]","['Accipitriformes', 101]","['Accipitridae', 101]","['Buteo', 101]",2.98277,7.5734496,-1
85,"Carduelis carduelis (Linnaeus, 1758)",3,6,2,9,22,17,5,8,3,6,3,7,5,8,[],"['Adult', 15]","['EUROPE', 113]","['RU', 46, 'GB', 15, 'IT', 9, 'ES', 7, 'UA', 7, 'FR', 5, 'DE', 5, 'DK', 3, 'PT', 3, 'AT', 3, 'RO', 2, 'NL', 1, 'HU', 1, 'BE', 1, 'FI', 1, 'CH', 1, 'CZ', 1, 'PL', 1, 'RS', 1]","['Animalia', 113]","['Chordata', 113]","['Aves', 113]","['Passeriformes', 113]","['Fringillidae', 113]","['Carduelis', 113]",2.0504937,8.733016,-1
94,"Chloris chloris (Linnaeus, 1758)",6,10,0,16,27,5,6,5,0,6,8,6,1,3,"['MALE', 1]","['Adult', 4]","['EUROPE', 107]","['RU', 60, 'IT', 11, 'UA', 6, 'GB', 5, 'DK', 4, 'DE', 4, 'ES', 4, 'AT', 4, 'FI', 3, 'LT', 1, 'HR', 1, 'BY', 1, 'FR', 1, 'HU', 1, 'MD', 1]","['Animalia', 107]","['Chordata', 107]","['Aves', 107]","['Passeriformes', 107]","['Fringillidae', 107]","['Chloris', 107]",2.0800605,9.485014,-1
96,"Chroicocephalus ridibundus (Linnaeus, 1766)",0,0,0,2,8,37,11,6,7,10,16,5,3,11,[],"['Adult', 8]","['EUROPE', 135]","['GB', 36, 'RU', 14, 'IT', 13, 'PT', 11, 'DE', 7, 'FR', 7, 'DK', 6, 'HU', 6, 'CH', 6, 'UA', 6, 'RS', 5, 'ES', 5, 'CZ', 3, 'AT', 2, 'NL', 2, 'PL', 2, 'GR', 1, 'IE', 1, 'BE', 1, 'RO', 1]","['Animalia', 135]","['Chordata', 135]","['Aves', 135]","['Charadriiformes', 135]","['Laridae', 135]","['Chroicocephalus', 135]",1.9745377,7.3162284,-1
111,"Columba livia var. domestica J.F.Gmelin, 1789",9,19,12,20,45,15,6,3,4,6,9,5,7,4,[],"['Adult', 27]","['EUROPE', 176]","['RU', 111, 'GB', 16, 'DE', 7, 'UA', 7, 'FR', 6, 'PT', 6, 'IT', 5, 'AT', 4, 'ES', 2, 'CZ', 2, 'CH', 1, 'NL', 1, 'BY', 1, 'RS', 1, 'DK', 1, 'RO', 1, 'GR', 1, 'BG', 1, 'FI', 1, 'BE', 1]","['Animalia', 176]","['Chordata', 176]","['Aves', 176]","['Columbiformes', 176]","['Columbidae', 176]","['Columba', 176]",0.80182546,9.426908,-1
118,"Corvus cornix Linnaeus, 1758",29,23,12,45,72,1,8,4,5,11,10,11,11,0,[],"['Adult', 11]","['EUROPE', 245]","['RU', 187, 'IT', 14, 'UA', 12, 'DE', 6, 'FI', 5, 'DK', 4, 'AT', 4, 'RO', 3, 'HU', 2, 'BY', 1, 'SE', 1, 'RS', 1, 'GR', 1, 'FR', 1, 'SI', 1, 'SK', 1, 'PL', 1]","['Animalia', 245]","['Chordata', 245]","['Aves', 245]","['Passeriformes', 245]","['Corvidae', 245]","['Corvus', 245]",0.23172846,10.554968,-1
122,"Corvus monedula Linnaeus, 1758",14,17,11,11,41,16,5,0,3,1,7,2,0,4,[],"['Adult', 11]","['EUROPE', 135]","['RU', 92, 'GB', 10, 'NL', 6, 'ES', 4, 'BE', 4, 'FR', 3, 'IT', 2, 'FI', 2, 'RS', 2, 'AT', 2, 'CZ', 2, 'UA', 2, 'DE', 1, 'HU', 1, 'RO', 1, 'PL', 1]","['Animalia', 135]","['Chordata', 135]","['Aves', 135]","['Passeriformes', 135]","['Corvidae', 135]","['Coloeus', 135]",1.4005623,9.9413395,-1
