gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4921540634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/415347993/original.jpeg	https://www.inaturalist.org/photos/415347993					2011-06-10T03:58:48Z	Wouter Beukema		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Wouter Beukema
4921540634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/415348011/original.jpeg	https://www.inaturalist.org/photos/415348011					2011-06-10T04:08:33Z	Wouter Beukema		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Wouter Beukema
4921540634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/415347994/original.jpeg	https://www.inaturalist.org/photos/415347994					2011-06-10T03:59:22Z	Wouter Beukema		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Wouter Beukema
4910637366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/409008495/original.jpg	https://www.inaturalist.org/photos/409008495					2024-07-15T17:47:07Z	ruv321		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ruv321
4901417562	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397427969/original.jpeg	https://www.inaturalist.org/photos/397427969					2017-11-23T22:16:40Z	Sebastian Voitel		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sebastian Voitel
4431180475	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/328901151/original.jpeg	https://www.inaturalist.org/photos/328901151					2023-10-14T08:32:00Z	dt79		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dt79
4172328410	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/308215953/original.jpeg	https://www.inaturalist.org/photos/308215953					2023-08-06T18:22:43Z	Tiziana Dinolfo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tiziana Dinolfo
4022273677	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252498108/original.jpeg	https://www.inaturalist.org/photos/252498108					2023-01-12T00:00:00Z	purperlibel		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	purperlibel
4022273677	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252498142/original.jpeg	https://www.inaturalist.org/photos/252498142					2023-01-12T00:00:00Z	purperlibel		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	purperlibel
4022273677	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252498121/original.jpeg	https://www.inaturalist.org/photos/252498121					2023-01-12T00:00:00Z	purperlibel		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	purperlibel
3747084729	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/183550376/original.jpeg	https://www.inaturalist.org/photos/183550376					2022-03-16T08:14:50Z	bigayon		iNaturalist	http://creativecommons.org/licenses/by/4.0/	bigayon
3059153788	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/115356606/original.jpeg	https://www.inaturalist.org/photos/115356606					2018-12-08T00:06:00Z	Marco Pecoraro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marco Pecoraro
2397525025	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/49096862/original.jpeg	https://www.inaturalist.org/photos/49096862					2019-08-24T07:52:51Z	gloria_ramello		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gloria_ramello
2283149681	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/43884416/original.jpeg	https://www.inaturalist.org/photos/43884416					2019-07-04T17:34:43Z	spyros		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spyros
2283149681	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/43884433/original.jpeg	https://www.inaturalist.org/photos/43884433					2019-07-04T17:34:18Z	spyros		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spyros
1993770699	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/31152027/original.jpg	https://www.inaturalist.org/photos/31152027					2019-02-07T17:03:14Z	Alessandro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alessandro
1584429158	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/9315754/original.jpeg	https://www.inaturalist.org/photos/9315754					2017-07-26T15:41:03Z	Michael J. Gras, M.Ed.		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Michael J. Gras, M.Ed.
1584429158	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/9315748/original.jpeg	https://www.inaturalist.org/photos/9315748					2017-07-26T15:40:50Z	Michael J. Gras, M.Ed.		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Michael J. Gras, M.Ed.
1584429158	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/9315768/original.jpeg	https://www.inaturalist.org/photos/9315768					2017-07-26T15:41:12Z	Michael J. Gras, M.Ed.		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Michael J. Gras, M.Ed.
