gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4926328988				CC_BY_NC_4_0	2024-08-18T08:26:02Z		https://www.inaturalist.org/observations/188001221	Museu Municipal de Ourém					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/188001221	188001221		Museu Municipal de Ourém															PRESENT																							2023-06-17		168	168	2023	6	17	2023-06-17											EUROPE				PT	Santarém				2490 Ourém, Portugal								39.656497	-8.577341	6475.0																															418874384				Museu Municipal de Ourém		2023-10-18T09:33:09				372423								Lampetra auremensis Mateus, Alves, Quintella & Almeida, 2013								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			auremensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	2024-08-29T05:28:50.047Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	8012324	8012324	1	44	11881065	771	2212	2421329		8012324	Lampetra auremensis	Lampetra auremensis Mateus, Alves, Quintella & Almeida, 2013	Lampetra auremensis		DWC_ARCHIVE	2024-08-29T05:28:50.047Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	PRT	Portugal	PRT.16_1	Santarém	PRT.16.14_1	Ourém	PRT.16.14.12_1	Nossa Senhora Da Piedade	NE
4919674173				CC_BY_NC_4_0	2024-07-25T09:56:18Z		https://www.inaturalist.org/observations/216061179	wojciech_kubiak					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/216061179	216061179		wojciech_kubiak						Juvenile									PRESENT																							2024-03-25T13:39Z	13:39:00+00:00	85	85	2024	3	25	2024-03-25 13:39:00											EUROPE				IE	Kildare				178, Osberstown, Naas, Co. Kildare, W91 XRP0, Ireland								53.247758	-6.686394	7.0																															487735469				wojciech_kubiak		2024-05-16T06:48:42				103972								Lampetra fluviatilis (Linnaeus, 1758)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			fluviatilis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:36:05.086Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421365	2421365	1	44	11881065	771	2212	2421329		2421365	Lampetra fluviatilis	Lampetra fluviatilis (Linnaeus, 1758)	Lampetra fluviatilis		DWC_ARCHIVE	2024-08-29T05:36:05.086Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	IRL	Ireland	IRL.9_1	Kildare	IRL.9.5_1	Naas			LC
4901938704				CC_BY_4_0	2024-06-17T21:00:10Z		https://www.inaturalist.org/observations/205878430	Simon Colenutt					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/205878430	205878430		Simon Colenutt															PRESENT																							2024-04-07T15:18:59	15:18:59+01:00	98	98	2024	4	7	2024-04-07 15:18:59+01:00											EUROPE				GB	England				New Forest National Park, Lyndhurst, England, GB								50.895683	-1.60622	4.0																															467811867				Simon Colenutt		2024-04-07T15:30:17				103978								Lampetra planeri (Bloch, 1784)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			planeri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	GB	2024-08-29T05:36:03.798Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421402	2421402	1	44	11881065	771	2212	2421329		2421402	Lampetra planeri	Lampetra planeri (Bloch, 1784)	Lampetra planeri		DWC_ARCHIVE	2024-08-29T05:36:03.798Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	GBR	United Kingdom	GBR.1_1	England	GBR.1.38_1	Hampshire	GBR.1.38.8_1	New Forest	LC
4901205530				CC_BY_4_0	2024-06-25T20:15:50Z		https://www.inaturalist.org/observations/115138326	Robyn Armstrong					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/115138326	115138326		Robyn Armstrong															PRESENT																							2022-05-03T11:58:48	11:58:48+01:00	123	123	2022	5	3	Tue May 03 2022 11:58:48 GMT+0100 (GMT+1)											EUROPE				GB	England				Little Ouse River, Brandon, England, GB								52.452718	0.686003	30.0																															256755975				Robyn Armstrong		2022-05-04T20:38:25				103978								Lampetra planeri (Bloch, 1784)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			planeri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:07:42.698Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421402	2421402	1	44	11881065	771	2212	2421329		2421402	Lampetra planeri	Lampetra planeri (Bloch, 1784)	Lampetra planeri		DWC_ARCHIVE	2024-08-29T05:07:42.698Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	GBR	United Kingdom	GBR.1_1	England	GBR.1.96_1	Suffolk	GBR.1.96.2_1	Forest Heath	LC
4891839852				CC_BY_4_0	2024-07-16T08:51:04Z		https://www.inaturalist.org/observations/215770423	Dmitry Ivanov					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/215770423	215770423		Dmitry Ivanov															PRESENT																							2024-05-14T19:58	19:58:00+03:00	135	135	2024	5	14	2024/05/14 19:58											EUROPE				RU	Tver'				Нелидовский р-н, Тверская обл., Россия								56.448806	32.961836	2.0																															487117573				Dmitry Ivanov		2024-05-14T19:46:49				103978								Lampetra planeri (Bloch, 1784)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			planeri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:21:57.598Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421402	2421402	1	44	11881065	771	2212	2421329		2421402	Lampetra planeri	Lampetra planeri (Bloch, 1784)	Lampetra planeri		DWC_ARCHIVE	2024-08-29T06:21:57.598Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	RUS	Russia	RUS.72_1	Tver'	RUS.72.1_1	Andreapol'skiy rayon	RUS.72.1.1_1		LC
4875357449				CC_BY_NC_4_0	2024-06-03T15:28:12Z		https://www.inaturalist.org/observations/144781330	Павел Несмеянов					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/144781330	144781330		Павел Несмеянов						Juvenile									PRESENT																							2022-12-21		355	355	2022	12	21	2022-12-21											EUROPE				ME	Kotor				Черногория								42.298208	18.71989	3710.0																															321819592				Павел Несмеянов		2022-12-21T09:29:08				49223								Petromyzon marinus Linnaeus, 1758								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Petromyzon	Petromyzon			marinus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:05:08.849Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	8236498	8236498	1	44	11881065	771	2212	2421261		8236498	Petromyzon marinus	Petromyzon marinus Linnaeus, 1758	Petromyzon marinus		DWC_ARCHIVE	2024-08-29T06:05:08.849Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA									LC
4868148669				CC_BY_NC_4_0	2024-05-21T22:48:42Z		https://www.inaturalist.org/observations/72387212	Mette Hesselholt Henne Hansen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/72387212	72387212		Mette Hesselholt Henne Hansen															PRESENT																							2015-10-08T04:06	04:06:00+01:00	281	281	2015	10	8	2015/10/08 4:06 AM BST											EUROPE				DK	Midtjylland				7800 Skive, Danmark								56.549851	9.00608	116.0																															162175915				Mette Hesselholt Henne Hansen		2021-03-29T19:46:23				103972								Lampetra fluviatilis (Linnaeus, 1758)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			fluviatilis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T04:58:54.270Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421365	2421365	1	44	11881065	771	2212	2421329		2421365	Lampetra fluviatilis	Lampetra fluviatilis (Linnaeus, 1758)	Lampetra fluviatilis		DWC_ARCHIVE	2024-08-29T04:58:54.270Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.2_1	Midtjylland	DNK.2.16_1	Skive			LC
4868038156				CC_BY_NC_4_0	2024-05-21T16:27:38Z		https://www.inaturalist.org/observations/215873223	davide bellucci					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 27847m at the request of the observer			https://www.inaturalist.org/observations/215873223	215873223		davide bellucci						Juvenile									PRESENT																							2024-05-07T10:33	10:33:00+03:00	128	128	2024	5	7	2024/05/07 10:33											EUROPE				GR	Macedonia and Thrace				Macedonia and Thrace, GR								41.186332	23.879981	27847.0																															487348330				davide bellucci		2024-05-15T09:23:48				96838								Caspiomyzon hellenicus (Vladykov, Renaud, Kott & Economidis, 1982)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Caspiomyzon	Caspiomyzon			hellenicus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:39:20.095Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5962956	5962956	1	44	11881065	771	2212	2421231		5962956	Caspiomyzon hellenicus	Caspiomyzon hellenicus (Vladykov, Renaud, Kott & Economidis, 1982)	Caspiomyzon hellenicus		DWC_ARCHIVE	2024-08-29T05:39:20.095Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.6_1	Macedonia and Thrace	GRC.6.2_1	East Macedonia and Thrace	GRC.6.2.17_1	Prosotsani	CR
4863582246				CC_BY_NC_4_0	2024-05-11T10:02:32Z		https://www.inaturalist.org/observations/214684797	Shumik A					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/214684797	214684797		Shumik A															PRESENT																							2010-05-22T13:34	13:34:00+04:00	142	142	2010	5	22	2010/05/22 13:34											EUROPE				RU	Bryansk				Брянский р-н, Брянская обл., Россия								53.273826	34.60155	4.0																															485001246				Alexey Katz	https://orcid.org/0000-0003-3738-4960	2024-05-10T04:41:11				100692								Eudontomyzon mariae (Berg, 1931)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Eudontomyzon	Eudontomyzon			mariae			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:18:01.647Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421315	2421315	1	44	11881065	771	2212	2421301		2421315	Eudontomyzon mariae	Eudontomyzon mariae (Berg, 1931)	Eudontomyzon mariae		DWC_ARCHIVE	2024-08-29T06:18:01.647Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	RUS	Russia	RUS.8_1	Bryansk	RUS.8.3_1	Bryanskiy rayon	RUS.8.3.1_1		LC
4855466582				CC_BY_NC_4_0	2024-05-04T07:22:45Z		https://www.inaturalist.org/observations/213213111	kevinkclausen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/213213111	213213111		kevinkclausen															PRESENT								Dead															2024-05-03T13:58:02	13:58:02+02:00	124	124	2024	5	3	2024-05-03 13:58:02+02:00											EUROPE				DK	Midtjylland				Gudenåvej, Skanderborg, Region Midtjylland, DK								56.015978	9.695403	34.0																															481636439				kevinkclausen		2024-05-03T18:43:23				103978								Lampetra planeri (Bloch, 1784)								Animalia	Chordata	Petromyzonti	Petromyzontiformes		Petromyzontidae				Lampetra	Lampetra			planeri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:21:19.467Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2421402	2421402	1	44	11881065	771	2212	2421329		2421402	Lampetra planeri	Lampetra planeri (Bloch, 1784)	Lampetra planeri		DWC_ARCHIVE	2024-08-29T06:21:19.467Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.2_1	Midtjylland	DNK.2.6_1	Horsens			LC
